"","start","finish","variable","value"
"1",1950,1960,"mean",0.358080808080808
"2",1951,1961,"mean",0.213888888888889
"3",1952,1962,"mean",0.158080808080808
"4",1953,1963,"mean",0.116161616161616
"5",1954,1964,"mean",0.161616161616162
"6",1955,1965,"mean",0.173484848484848
"7",1956,1966,"mean",0.247222222222222
"8",1957,1967,"mean",0.322474747474747
"9",1958,1968,"mean",0.368434343434343
"10",1959,1969,"mean",0.345959595959596
"11",1960,1970,"mean",0.324747474747475
"12",1961,1971,"mean",0.306060606060606
"13",1962,1972,"mean",0.265909090909091
"14",1963,1973,"mean",0.22550505050505
"15",1964,1974,"mean",0.199494949494949
"16",1965,1975,"mean",0.162373737373737
"17",1966,1976,"mean",0.156313131313131
"18",1967,1977,"mean",0.181060606060606
"19",1968,1978,"mean",0.176262626262626
"20",1969,1979,"mean",0.125252525252525
"21",1970,1980,"mean",0.081060606060606
"22",1971,1981,"mean",0.0424242424242424
"23",1972,1982,"mean",-0.00505050505050505
"24",1973,1983,"mean",-0.0505050505050505
"25",1974,1984,"mean",-0.0371212121212121
"26",1975,1985,"mean",-0.0522727272727273
"27",1976,1986,"mean",-0.0570707070707071
"28",1977,1987,"mean",-0.0424242424242424
"29",1978,1988,"mean",-0.0179292929292929
"30",1979,1989,"mean",-0.0108585858585859
"31",1980,1990,"mean",-0.0116161616161616
"32",1981,1991,"mean",-0.0411616161616161
"33",1982,1992,"mean",-0.0699494949494949
"34",1983,1993,"mean",-0.0275252525252525
"35",1984,1994,"mean",-0.0113636363636364
"36",1985,1995,"mean",-0.00328282828282829
"37",1986,1996,"mean",0.00328282828282828
"38",1987,1997,"mean",0.0136363636363636
"39",1988,1998,"mean",0.071969696969697
"40",1989,1999,"mean",0.113383838383838
"41",1990,2000,"mean",0.147727272727273
"42",1991,2001,"mean",0.128787878787879
"43",1992,2002,"mean",0.104040404040404
"44",1993,2003,"mean",0.0656565656565656
"45",1994,2004,"mean",0.0873737373737374
"46",1995,2005,"mean",0.154040404040404
"47",1996,2006,"mean",0.190909090909091
"48",1997,2007,"mean",0.197979797979798
"49",1998,2008,"mean",0.18510101010101
"50",1999,2009,"mean",0.172222222222222
"51",2000,2010,"mean",0.230808080808081
"52",2001,2011,"mean",0.301010101010101
"53",2002,2012,"mean",0.338636363636364
"54",2003,2013,"mean",0.393434343434343
"55",2004,2014,"mean",0.482828282828283
"56",2005,2015,"mean",0.556313131313131
"57",1950,1960,"sd",0.439546174553341
"58",1951,1961,"sd",0.593134614676005
"59",1952,1962,"sd",0.652095985929632
"60",1953,1963,"sd",0.69004084580816
"61",1954,1964,"sd",0.655198487769903
"62",1955,1965,"sd",0.592146057957946
"63",1956,1966,"sd",0.480066993772508
"64",1957,1967,"sd",0.43466382190033
"65",1958,1968,"sd",0.496664131062784
"66",1959,1969,"sd",0.570357680789131
"67",1960,1970,"sd",0.60239824170636
"68",1961,1971,"sd",0.601736958461316
"69",1962,1972,"sd",0.581904924540298
"70",1963,1973,"sd",0.565755628050079
"71",1964,1974,"sd",0.562986405494728
"72",1965,1975,"sd",0.622881875880181
"73",1966,1976,"sd",0.741936008736569
"74",1967,1977,"sd",0.82185431192847
"75",1968,1978,"sd",0.816903121364061
"76",1969,1979,"sd",0.728295096693842
"77",1970,1980,"sd",0.617923456323558
"78",1971,1981,"sd",0.502329872755517
"79",1972,1982,"sd",0.444626553272058
"80",1973,1983,"sd",0.487735990502906
"81",1974,1984,"sd",0.546498459930146
"82",1975,1985,"sd",0.608361163935638
"83",1976,1986,"sd",0.590321830504999
"84",1977,1987,"sd",0.575882875406571
"85",1978,1988,"sd",0.575819260764887
"86",1979,1989,"sd",0.562885211432004
"87",1980,1990,"sd",0.568980160632134
"88",1981,1991,"sd",0.557200313555848
"89",1982,1992,"sd",0.561919544693117
"90",1983,1993,"sd",0.505822000933751
"91",1984,1994,"sd",0.551770254021672
"92",1985,1995,"sd",0.565247603915423
"93",1986,1996,"sd",0.57287424532582
"94",1987,1997,"sd",0.602205705655832
"95",1988,1998,"sd",0.603235569493579
"96",1989,1999,"sd",0.581353248127129
"97",1990,2000,"sd",0.574669454808968
"98",1991,2001,"sd",0.541101679127559
"99",1992,2002,"sd",0.476515512838905
"100",1993,2003,"sd",0.535251371993855
"101",1994,2004,"sd",0.584204836138848
"102",1995,2005,"sd",0.592778041186647
"103",1996,2006,"sd",0.583568794891159
"104",1997,2007,"sd",0.575505982851651
"105",1998,2008,"sd",0.581295027694278
"106",1999,2009,"sd",0.521581214326084
"107",2000,2010,"sd",0.466433010600595
"108",2001,2011,"sd",0.498824013882047
"109",2002,2012,"sd",0.567770240541774
"110",2003,2013,"sd",0.638603150630971
"111",2004,2014,"sd",0.675266453256693
"112",2005,2015,"sd",0.693409077311486
